,title,overview,genres
1746,Back to the Future,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.","Adventure ,Comedy ,Science Fiction"
1747,Manor of Darkness,A group of pretend filmmakers are stuck in a never-ending nightmare at the manor.,"Horror ,Mystery ,Thriller"
1748,All We Need Is Time,"One year after the accident of his elder sister, Ombak, a suicide survivor gets an anxiety attack because he is tortured by remorse and guilt-tripping from his mother.","Drama ,Family"
1749,Midnight Sun,"A seventeen-year-old girl with sun allergy lives a sheltered life. One night, she ventures out to play guitar, and she meets a guy she admires. As they develop a romance, she hides her condition from him, creating tension in their budding relationship.","Music ,Drama ,Romance"
1750,Guns Up,"When a job goes horribly wrong, an ex-cop and family man who moonlights as a mob henchman has one night to get his family out of the city.","Action ,Comedy ,Crime"
1751,Boy in the Pool,"Seok-young, a girl who loves to swim, comes to the countryside and bumps into mysterious Woo-ju. They get closer after Woo-ju saves her from drowning. However, they part ways when Woo-ju leaves the countryside to pursue his dream. Woo-ju is now a promising swimmer, and Seok-yeong cheers him on from afar. Will they ever be reunited as they swim between feelings of inferiority and puppy love?","Romance ,Drama"
1752,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","Action ,Adventure ,Science Fiction"
1753,There Will Be Blood,"Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives.",Drama
1754,Enemigos,"Chimo turns 18 years and comes from a humble and supportive family. Since childhood he was bullied and even today, while working multiple jobs and dreaming of starting his own business, he continues to face his bully: El Rubio. When Chimo has the opportunity for revenge, he never imagines what begins as an act of retaliation could turn into an unexpected friendship that'll change both their lives.",Drama
1755,Scarface,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.","Action ,Crime ,Drama"
1756,Stand Your Ground,"Former Special Forces operative, Jack Johnson, uses the Stand Your Ground law to seek vengeance for his wife’s murder, igniting a brutal war against a local crime lord’s family and ending in an explosive showdown.","Action ,Thriller ,Crime"
1757,The Passion of the Christ,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,Drama
1758,The Baby My Husband Lied About,"A murder leads a newly pregnant mom-to-be to discover her IVF procedure may not have come from her husband, and someone will stop at nothing to keep her from discovering who the real father is.","Thriller ,TV Movie"
1759,Jaws,"When the seaside community of Amity finds itself under attack by a dangerous great white shark, the town's chief of police, a young marine biologist, and a grizzled shark hunter embark on a desperate quest to kill the beast before it strikes again.","Horror ,Thriller ,Adventure"
1760,Dead Again,"Min-hyeok and Hae-ji, Seon-woong and Mi-mi, who came on a couple's trip to Vietnam, are very excited. Min-hyeok also enjoys a thrilling secret meeting with his wife Hae-ji as well as Mi-mi, who has been in a long-term relationship, and has a satisfying time.  However, Min-hyeok suddenly feels intense pain and stops breathing, and when he opens his eyes thinking he is going to die, it is his first day in Vietnam. Min-hyeok, who is confused about everything, finds out that there is a reason for the vacation that ends in death...","Thriller ,Romance ,Mystery"
1761,Saw,"Two men wake up to find themselves shackled in a grimy, abandoned bathroom. As they struggle to comprehend their predicament, they discover a disturbing tape left behind by the sadistic mastermind known as Jigsaw. With a chilling voice and cryptic instructions, Jigsaw informs them that they must partake in a gruesome game in order to secure their freedom.","Horror ,Mystery ,Crime"
1762,Coka Chicas,"When Sarah and her best friends Jessica and Chanel arrive at a dreamy Caribbean resort from their Parisian suburb, their goal is not to sip mojitos and dance the bachata. The three 25-year-olds are in fact “coka chicas”, drug mules, hoping to make their dream of opening a nail bar come true through a single drug smuggling hustle. Everything seems to be going to plan until Jessica is stopped by the police while they are boarding the plane back to France. The circumstances of her arrest are suspicious and when Sarah and Chanel start looking for her, she is not to be found at any police station or hospital. Bound by the sacred bonds of friendship the girls decide to stay and find Jessica, far from imagining the magnitude of the secrets they are about to uncover and the danger that will be unleashed…","Thriller ,Action ,Crime"
1763,Encanto,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.","Animation ,Comedy ,Family ,Fantasy"
1764,Last Bullet,Car genius Lino returns to conclude his vendetta against Areski and the corrupt commander who ruined their lives in this turbo-charged trilogy finale.,"Action ,Crime ,Thriller ,Drama"
1765,Cold Road - Eiskalte Rache,"On a frozen remote highway in the Canadian North, an Indigenous woman and her dog are hunted by a stranger in a semi truck.","Thriller ,Action"
1766,Silent Hill,"Rose, a desperate mother, takes her adopted daughter, Sharon, to the town of Silent Hill in an attempt to cure her of her ailment. After a violent car crash, Sharon disappears, and Rose embarks on a horrific journey to get her back and begins to uncover the truth behind the apocalyptic disaster that burned the town 30 years earlier.","Horror ,Mystery"
1767,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",Drama
1768,The Martian,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.","Science Fiction ,Drama ,Adventure"
1769,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","Action ,Adventure ,Science Fiction"
1770,Shadow Force,"Kyrah and Isaac were once the leaders of a multinational special forces group called Shadow Force. They broke the rules by falling in love, and in order to protect their son, they go underground. With a large bounty on their heads, and the vengeful Shadow Force hot on their trail, one family's fight becomes all-out war.","Action ,Thriller"
1771,Holy Night: Demon Hunters,"When a devil-worshipping criminal network plunges Seoul into chaos, the police turn to Holy Night—a trio of supernatural demon hunters—to restore order and defeat the rising evil.","Action ,Fantasy ,Horror ,Thriller"
1772,The Good Manners,"In a Valencian village, during the postwar period, Ana tries to get ahead with her family; the civil war has opened a deep wound in all of them, especially in her brother-in-law, Antonio. Ana tries to heal that wound with stews, secrets and silences, but when Isabel, newly married to Antonio, comes to the family, Ana’s attention and care will be worth little or nothing: the sacrifice does not always have its reward.",Drama
1773,The Old Woman with the Knife,"Aging assassin Hornclaw has seen it all, but she never expected to mentor a reckless rookie like Bullfight. As their unlikely bond deepens, cracks form in the underworld they navigate together. When Hornclaw discovers someone wants her dead, she's thrust into a deadly game of deception. With enemies closing in and trust in short supply, survival means staying sharp—both blade and mind.","Action ,Mystery ,Drama"
1774,Summer Blue Hour,"SU Ming-yi (played by CHENG Yu-xi) holds her first photography exhibition, reflecting on her youth and thinking of YAN Li-yao (played by SHIH Bo-yu). In high school, she was the class monitor, secretly admiring YAN Li-yao. Despite his frequent absences, they crossed paths often, with her feelings hidden. YAN Li-yao and CHENG Yan (played by LIN Zi-heng) were close but had contrasting personalities. After SU Ming-yi confessed, YAN Li-yao suggested a “trial” relationship. After graduation, they each buried their secrets. Years later, through an old roll of film and a photography exhibition, these long-hidden feelings are finally revealed, offering redemption for all involved.",Drama
1775,Saigon Sunset,A passionate melodrama depicting the most passionate moments of a woman who went on a trip to forget her ex-lover and a man who started his vacation hoping for a coincidence.,"Romance ,Drama"
1776,The Mummy,"Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient queen whose destiny was unjustly taken from her is awakened in our current day, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.","Fantasy ,Thriller ,Action ,Adventure ,Horror"
1777,Batman Begins,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.","Drama ,Crime ,Action"
1778,Black Swan,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".","Drama ,Thriller ,Horror"
1779,Fame: A Temptations Story,"Vegas-based pop stars, the Jordan Sisters, face a home invasion. As detectives dig into the case, hidden conflicts and simmering rivalries within the celebrated duo come to light, threatening their carefully crafted public image.","Drama ,TV Movie"
1780,Godzilla x Kong: Supernova,Features several new human characters alongside the beloved and iconic Titans Godzilla and Kong as they face off against a cataclysmic world-ending threat. Plot TBA.,"Science Fiction ,Action ,Adventure"
1781,The Other,"Unable to conceive, a couple seeks to build a family with a young orphan, survivor of tragic childhood. But their act of love turns to horror when they realize the violence in their foster's past has returned to destroy the new family.","Horror ,Thriller"
1782,Valley of the Shadow of Death,A Hong Kong pastor faces an impossible test of faith when the young man responsible for his daughter's death arrives at his church seeking both salvation and shelter.,"Drama ,Crime ,Romance"
1783,The Resurrection of the Christ: Part One,The first part of a two-part sequel to The Passion of the Christ. Plot TBA.,Drama
1784,Phule,"A biopic on Jyotiba and Savitribai Phule, considered to be a pioneering couple in India’s societal history. They are often credited for underlining the importance of the girls’ education and self-dependence.","History ,Drama"
1785,Petals and Memories,"With the promise made to their deceased father in his heart, the older brother, Toshiki, has continued to protect his younger sister, Fumiko. Now that Fumiko is getting married, the burden he carried should have finally been lifted, but a long-buried ""secret"" of Fumiko has resurfaced.",Drama
1786,Kiki's Delivery Service,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.","Animation ,Family ,Fantasy ,Drama"
1787,Die Like a Man,"Set in the heart of a rapidly gentrifying west Los Angeles neighborhood still reeling from decades of guns and gang violence across the four corners near Venice, a working-class single mom desperately tries to wean her 17-year-old son Freddy away from a veteran gangster who has become a father figure to him.","Drama ,Crime"
1788,2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.","Science Fiction ,Mystery ,Adventure"
1789,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.","Drama ,Crime"
1790,Men in Black,"After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent K and new recruit Agent J find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies.","Action ,Adventure ,Comedy ,Science Fiction"
1791,Predator,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,"Science Fiction ,Action ,Adventure ,Thriller"
1792,Detective Conan: One-Eyed Flashback,"As police inspector Yamato Kansuke pursues a certain man in the snowy mountains of Nagano, a shadow suddenly appears in his field of vision. While he's distracted, a rifle bullet fired by someone grazes his left eye and causes an avalanche accompanied by a roar. Ten months later, Kansuke, having miraculously survived the avalanche, receives a report that a researcher at the Nobeyama National Astronomical Observatory has been attacked.","Animation ,Action ,Mystery ,Crime"
1793,Your Name.,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.","Animation ,Romance ,Drama"
1794,The Wedding Banquet,"Frustrated with his commitment-phobic boyfriend Chris and running out of time, Min makes a proposal: a green-card marriage with their friend Angela in exchange for her partner Lee's expensive IVF. Elopement plans are upended, however, when Min's grandmother surprises them with an extravagant Korean wedding banquet.","Comedy ,Romance ,Drama"
1795,Mazel Tov,"When Dario Roitman returns from the U.S. to Argentina for a family wedding and Bat Mitzvah, he anticipates the usual family drama. But his carefully laid plans for a family reunion are suddenly upended when he learns, just hours before his flight, that his father has passed away.  As the Roitmans gather for the funeral, old wounds resurface and longstanding tensions reach a boiling point. Despite the emotional turmoil, Dario remains determined to celebrate both the wedding and Bat Mitzvah, even if it means challenging tradition and risking further discord. Navigating grief, sibling rivalry, and delightfully eccentric grudges, the Roitmans reveal the messy yet enduring love of family.","Drama ,Comedy"
1796,Crazy About Her,"Alvaro, an optimistic young man falls in love with Carla, a girl who is in a mental clinic. In trying to help her, he learns that mental illness requires more than just a positive attitude to overcome.",Comedy
1797,Faster,"A former racer returns to the sport through a racing academy, where she meets Will. As they fall for each other, they become rivals competing for the Formula 1 championship, forcing her to choose between love and victory.","Action ,Romance ,Drama"
1798,It Takes Two To Tango,"Antoine Toussaint is a famous, disillusioned 70 year-old crooner. On a train to Geneva where he plans to end his life, Antoine meets Victoire, a good-natured fan with a few loose wires. This unlikely encounter thwarts all Antoine’s plans, for better or worse!","Comedy ,Romance"
1799,House Sitter,"A young man is paid to take of a grand house by a man going on holiday. As he rebels from his duties, things start to go wrong.",Thriller
1800,Yadang: The Snitch,"Navigating both the criminal underworld and law enforcement agencies, professional snitches called ""yadang"" provide covert information about the drug world to prosecutors and police. When a drug bust at a party attended by high-profile second-generation VIPs entangles those involved into a dangerous conspiracy, a seasoned yadang must do everything in his power not just to make it out on top, but alive.","Crime ,Action ,Comedy ,Drama ,Thriller"
1801,Eyes Wide Shut,"After Dr. Bill Harford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.","Drama ,Thriller ,Mystery"
1802,Nobody,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.","Action ,Thriller"
1803,Life of Pi,"The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.","Adventure ,Drama"
1804,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.","Family ,Animation ,Adventure ,Comedy"
1805,Sanatorium Under the Sign of the Hourglass,"Jozef embarks on a journey via a ghostly train to visit his dying father in a remote Galician sanatorium. Upon arrival, he discovers that the sanatorium exists in a realm where time is distorted—his father's death has not yet occurred, as time here lags behind the outside world by an undefined interval. Jozef's experiences become increasingly fragmented and dreamlike as he confronts various manifestations of his father, each representing different aspects of their relationship and his own psyche.","Animation ,Fantasy ,Drama ,Horror"
1806,Zero,"Two Americans wake up in Dakar, Senegal, with bombs strapped to their chests ticking down from ten hours. Guided by a threatening voice on the phone, these men complete a series of violent tasks that spark widespread protest against Western influence in the city.","Action ,Thriller"
1807,Before the Silence,"Three brothers uncover a dark secret in their bay, revealing their father’s violent past as family bonds fracture and danger closes in around them.","Drama ,Horror ,Crime ,Thriller"
1808,Sacramento,"When free-spirited Rickey suddenly reappears in father-to-be Glenn’s life, the two former best friends embark on a spontaneous road trip from LA to Sacramento.","Comedy ,Drama"
1809,Gunslingers,"When the most wanted man in America surfaces in a small Kentucky town, his violent history -- and a blood-thirsty mob seeking vengeance and a king’s ransom -- soon follow. As brothers face off against one another and bullets tear the town to shreds, this lightning-fast gunslinger makes his enemies pay the ultimate price for their greed.",Western
1810,​Tell Me Something,"In an investigation into the inevitability of relationships, two people revisit the scene of a first date.",Drama
1811,Jaat,"A mysterious stranger journeys to a remote town controlled by a callous crime lord, with one violent mission — restoring justice to its people.","Crime ,Action ,Thriller"
1812,El Partido,,Documentary
1813,TLSM,A boy prepares for a final showdown with his bullies. A spirit from Macedonian folktales interferes.,"Fantasy ,Drama ,Horror"
1814,The U Turn,"The U-Turn narrates the transformational journey of the immigrant workers who broke the silence about the abuses they endured at the Agriprocessors meat parking plant in Postville, Iowa and the community that would not abandon them. The film showcases U-Visa an immigration relief – part of the Violence Against Women Act- in much need of dissemination and understanding by immigrant workers, immigration rights-advocates and law-enforcement.",
1815,Trust Me: The False Prophet,"Documentary about an FLDS man, Sam Bateman, who claims to be a prophet",
1816,Maybe Happy Ending,"Set in a near-future Seoul, following two retired ""HelperBot"" robots—innocent Oliver and cynical Claire—who live in isolation. When they meet and embark on a road trip to Jeju Island to see fireflies, they forge a deep connection, exploring love, loss, and what it means to be human",
1817,Modern Art,"A withdrawn security guard drifts through life until an encounter with an artist sparks a quiet awakening, leading him to begin exploring where his own sense of art might lie.",
1818,Kathiyawadi Tales,"Three stories unfold in Kathiyawad-young lovers flee societal pressure, an NRI seeks her estranged father, and a tycoon's son pursues art over legacy. A tale of identity, rebellion, and the courage to break free.",
1819,Fingerfoot,"Bruno, Parmesan Kid and Herick embark on a journey to buy some pot",Comedy
1820,Sheng Wang Special,"Filmed at D.C.'s Warner Theater, Sheng reflects on adulthood through everyday experiences-from generously sharing berries with children to cooking with shallots, confronting household spirits, and discovering delight in the natural world.",
1821,Milk & Serial,A surprise birthday prank takes a turn for the worse when a popular social media duo must face the reality of the terrifying aftermath.,"Horror ,Thriller"
1822,El arquero inocente. Entre la gloria y el infierno,,Documentary
1823,屌丝男士2,,
1824,Minotaur,,"Fantasy ,Horror"
1825,Peppa Pig Perfect Holiday,"When Peppa learned that her family wouldn't be going on vacation this year, she was very disappointed. However, a sudden storm transported her to faraway China! Peppa embarked on a wonderful adventure until she was reunited with her family, and Peppa had the perfect vacation ever.",
1826,The Nut Job 3,,"Animation ,Comedy ,Family ,Adventure"
1827,Moana 3,,"Adventure ,Animation ,Family ,Fantasy"
1828,What Ravens Do,"An intimate look into the lives of ravens reveals their intelligence, emotions, & social bonds thru play, communication, & connection. It follows a couple of ravens as they raise their young.",
1829,Ethan Almighty – Ethan’s Law,"Based on the viral true story of Jeff Callaway and the rescue dog Ethan, whose miraculous survival inspired the world and led to meaningful changes to animal cruelty laws in Kentucky.",Drama
1830,SONE-381妹の若い彼氏に恥ずかしいほどイカされたアラサーの私,,
1831,Constantine 2,"Reeves will reprise his role as supernatural exorcist and demonologist John Constantine. Who, in the original is dying, but sticks around to save his soul by keeping demons in hell from breaching earth.","Action ,Fantasy ,Horror"
1832,The Making of 'No Time to Die',"Told through interviews with the cast and crew of the film, one gets an insight into the amount of effort that went into making ""No Time to Die"" and the challenge to deliver a worthy departure for Daniel Craig.",
1833,Hotel Transylvania 5,The fifth film in the saga. Plot TBA,"Animation ,Family ,Comedy ,Fantasy"
1834,My First Graduation Ceremony,,"Romance ,Comedy ,Drama"
1835,The Stranger in the Snow,A careless young woman visits her date's apartment where they hear a strange repeated knocking throughout the evening.,
1836,My Undesirable Friends: Part II - Exile,"Sequel to Julia Loktev's acclaimed documentary, following the Russian independent journalists from Part I (""Last Air in Moscow"") as they flee the country and navigate life in exile after the invasion of Ukraine, focusing on their dispersed lives and ongoing struggle for truth across different nations. While Part I documented their lives in Moscow facing mounting pressure from the Putin regime, Part II chronicles their forced displacement and new realities in various countries, continuing their mission against authoritarianism.",Documentary
1837,Paranormal Activity 8,"The eighth installment of the saga. Set in the 1990s, the story returns to the roots of evil to reveal the secrets hidden behind the fire at Katie and Kristi’s house, and the dark bond that would mark Hunter’s destiny forever","Horror ,Mystery"
1838,Infomercial Aesthetics,"Built entirely from the eerie debris of late night television advertising, this piece samples multiple fragments from a week’s worth of infomercials and pushes them together into a desperate video remix.  ""Heads and bodies jerk back and forth under the force of video scrubbing, turning generic product testimonials into spastic robotic routines. Hucksters tweak, video toaster effects spin, cubes of Before & After samples whirl in a fury. The disparate fragments are reconstructed into something of an ultimate infomercial – a rhythmic commercial, forward driving and hypnotic, selling a dazzling product of complete nonsense.""",
1839,Gintama on Theater 2D: Kabukicho Shitennohen Arc,"Kabukicho's delicate balance is maintained by four powerful figures known as the ""Four Devas,"" who keep each other's influence in check. Among them is Otose, the ""Empress"" of the district. Despite having no real power herself, the sole reason she retains her position as one of the Four Devas and can contend with rival factions... is the presence of Kabukicho's strongest man—Sakata Gintoki—by her side. Then, a young woman approaches Gintoki, asking to become an apprentice at Yorozuya. Unbeknownst to him, she is Tsubaki Hirako, formerly of the Uekibachi Family and infamouslyknown as ""Killer Hirako."" Now, as Jirochou schemes to dominate Kabukicho, Otose becomes a target. Gintoki is given anultimatum: Join the Jirochou Family to save her, or refuse and watch Otose be attacked—while hehimself is marked for death.","Animation ,Action ,Science Fiction ,Comedy ,Fantasy"
1840,Tangled,"The live-action adaptation of Disney’s ""Tangled"". Plot TBA.","Adventure ,Family ,Fantasy ,Romance"
1841,Special Op: Rent-a-Cop,"After falling in love and leaving Special Ops, special agent Brock Belfry finds himself working security in a small town and ends up escorting a van full of senior citizens to Las Vegas for their summer trip. But the trip will not go smoothly as he realizes that his archenemies have tracked him down and plot to take him out.","Action ,Comedy ,Thriller"
1842,Grave Encounters,A reboot of the 2011 cult film about a crew from a paranormal reality television show lock themselves in a haunted psychiatric hospital. They search for evidence of paranormal activity as they shoot what ends up becoming their final episode.,Horror
1843,Disney Junior Cinema Club 2025,"An unmissable big-screen adventure for little ones with an hour-long cinema experience, featuring Disney’s Mickey Mouse and friends, Marvel’s Spidey and Iron Man, plus SuperKitties, Bluey and more! Whether it’s their first time in the cinema, or they regularly enjoy the movies, it’s something you can enjoy together as a family, and you’re encouraged to join in! Disney Junior Cinema Club 2025 brings together songs, dancing, interactive games, and episodes for your pre-schoolers.",
1844,"Depois da maré, o que seremos?",,"Documentary ,History"
1845,Waiting For The Drop: Rise of the Superstar DJs,"After Paul Oakenfold and Tiësto lift DJs to rock star icons, a new generation wrestles with excesses that threaten to upend a musical movement. Festivals replace raves, EDM ""drops"" take over, a company goes bankrupt and DJs ""press play.""","Documentary ,Music"
1846,Return of The Mack,"Ex-con Golden Mickens learns his daughter's trapped in a trafficking ring. Using his street knowledge, he must confront his criminal past and navigate Detroit's underworld to save her.","Crime ,Drama ,Thriller"
1847,Como si fueras luz,,"Horror ,Thriller ,Drama ,Romance"
1848,Lord of Mysteries: The Fool,Based on Volume 8 of the Lord of Mysteries web novel.,"Animation ,Mystery ,Science Fiction ,Fantasy"
1849,Better Tomorrow,,"Animation ,Crime ,Action ,Thriller"
1850,faguokongjie,,
1851,Days of Bullets,"A retired security man returns to civilian life to realize that he has lost his value, so he begins a journey to regain that value and his position in life.","Drama ,Mystery"
1852,Janet Jackson: In Control,Being the youngest of ten didn’t stop this Jackson sibling from embracing her own identity and an unquestioned talent that would build an empire.,"Documentary ,Music"
1853,Garance,,"Comedy ,Drama"
1854,La Troisième nuit,Follows the incredible story of a 1942 effort to to save over 100 Jewish children from a deportation camp just outside of Lyon.,"Drama ,History"
1855,Das Rätsel der Monsterwellen,,
1856,Dogs on the Sendero,"When Gina is killed in a school shooting, Sol takes to the open road in their vintage RV along with their little dog, Rosie, in a desperate attempt to keep his wife's memory alive by helping others and rediscovering his Mestizo heritage.","Drama ,Comedy"
1857,"End of August, Sexual Awakening Mio Ishikawa","Blue skies, shining sunshine and mountains brimming with greenery... Enjoy your summer vacation with the slender and absolutely beautiful Mio Ishikawa. We bring you the most emotional time spent in a sparsely populated mountain village, doing something cute and a little naughty.",Documentary
1858,Sunset on Pluto,"Haunted by his past, Connell returns to his abandoned childhood home. Inside, he awakens Pluto, a towering anthropomorphic teddy bear tied to his buried memories and unresolved trauma. As Pluto pursues him through the house, Connell is forced to confront a series of nightmarish visions from his childhood - bringing him closer to the guilt that has consumed him his entire life. Equal parts haunting and redemptive, this story explores the weight of grief and the courage it takes to confront our deepest wounds.","Horror ,Fantasy"
1859,胸糞NTR 最悪の鬱勃起映像 幸せを約束した大好きな彼女がおっさんに寝取られて、壊されました。 涼森れむ,,
1860,Ulya,"A giant girl lives in a wild rural environment. When the modern world enters this isolated Russian Old Believer milieu, the girl is taken away and dragged into the world of professional sports. The aim does not differ much from that of a circus in the Middle Ages – to entertain audiences and exploit the limits of people’s mental and physical abilities. But the girl proves to have unbelievable willpower and athletic talent. She is able to adapt and triumph in this new world. This is the story of the famous basketball player Ulyana Semyonova.",Drama
1861,aespa aepisode SYNK#1,,Music
1862,Elden Ring,"A live-action adaptation of the dark fantasy video game, taking place in the war-torn world of the Lands Between, which was once united by the Elden Ring.",Fantasy
1863,"Kylie Minogue: Tension Tour, Toronto CA","Kylie Minogue: Tension Tour, Toronto CA (2025)",
1864,Grizzy and the Lemmings World Tour (Season 4) - Iced Grizzy,A bear named Grizzy engages in slapstick battle with a group of mischievous lemmings with unintended but hilarious consequences.,
1865,HELMUT,,Drama
1866,Crescendo,"Behind the scenes of an ambitious staging of the opera The Marriage of Figaro, an accusation of sexual assault emerges, upsetting the balance of the cast. The film explores the tensions linked to generational conflicts and individual stances, in an artistic context in crisis.","Comedy ,Drama"
1867,Morphling,"Already entangled in a growing addiction to the dark web, a high school student’s descent accelerates when he uncovers an explicit video of a classmate.",
1868,Melanie,"A woman eagerly prepares for an enchanting date night, but as time unfolds, unexpected twists reveal a haunting secret lurking beneath the surface.","Thriller ,Horror"
1869,Animelo Summer Live 2024 -Stargazer- 9/1,"The world's largest anime song event, ""Animelo Summer Live 2024 - Stargazer -,"" is now available as Blu-ray, featuring live performances from each event day. DAY3: Features the performances from 9/1. Artists: The Idolmaster Shiny Colors / Shota Aoi / Asaka / Yuma Uchida / Kita Uji Quartet / ZAQ / Jashin Girls Ikenie SUMMER / Aina Suzuki / Minori Chihara / Nao Toyama / TRUE / Yoshino Nanjo / Kana Hanazawa / B Komachi / fripSide / Bravern (CV: Kenichi Suzumura) / Isami Aoi (CV: Ryota Suzuki) & Louis Smith (CV: Yohei Azakami) / ReoNa.",Music
1870,Virginia Raffaele - Samusà,"Virginia Raffaele returns to her first love, the theatre, and does so with a completely new show. Samusà’s story feeds on memories of Virginia and the fantasy world in which his real childhood takes place: the luna park.",Comedy
1871,Snow White,"When the Queen’s jealousy turns deadly, Snow White must join forces with gnomes to fight back against her stepmother’s wrath.","Animation ,Family ,Fantasy"
1872,The Way Out,"He Liwei, a young and talented programmer, was sent to Qingchunli Rehabilitation Hospital by his company because he disrupted the company's financing plan. Here, he met a group of special friends, which enabled his disordered life clock to start ticking again in a different way.",Drama
1873,Diary of a Mad Old Man,A stubborn professor who becomes consumed by desire when he forms a bond with his best friend’s daughter who is tasked with taking care of him.,Drama
1874,Foul Play with Anthony Davis,"Some of the greatest athletes in the world get one shot to score a great prank, or foul out trying.",Comedy
1875,What They Found,"The story of two soldier-cameramen, Sgt Mike Lewis and Sgt Bill Lawrie, who witnessed the liberation of Belsen during the closing days of World War II.","Documentary ,History"
1876,Biohack Yourself: Activation Beyond the Quantum,"In Chapter 3 of Biohack Yourself, the spotlight is on the transformative technologies of light therapy, frequency modulation, and hyperbaric innovation",Documentary
1877,F*ckin' Fred : Comme un Léopard,"One of the most iconic characters of Jonathan Cohen, F*ckin' Fred, makes his return after being created in the 2020 Orelsan's Epilogue Tour where Jonathan was a surprise guest.  This epic documentary will tell how F*ckin' Fred was created but also his journey through the first official Fuckin' Fred concert.","Comedy ,Documentary ,Music"
